,STATE/UT,DISTRICT,Year,Murder,Assault on women,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against SCs,Violent Crimes,Property Crimes,Total Crimes
564,Uttar pradesh,BALRAMPUR,2001,3,3,0,0,0,4,2,28,0,21,8,4,61
565,Uttar pradesh,BANDA,2001,6,9,2,0,1,4,7,106,0,31,24,5,166
566,Uttar pradesh,BARABANKI,2001,4,9,2,0,2,10,13,194,0,175,28,12,409
567,Uttar pradesh,BAREILLY,2001,13,16,0,2,4,3,16,207,0,12,45,9,273
568,Uttar pradesh,BASTI,2001,3,8,0,0,0,2,1,158,0,0,12,2,172
569,Uttar pradesh,BIJNOR,2001,8,5,5,0,0,2,13,13,0,57,31,2,103
570,Uttar pradesh,BULANDSHAHAR,2001,14,4,5,0,2,1,7,132,0,95,30,3,260
571,Uttar pradesh,CHANDOLI,2001,1,1,0,0,0,0,1,48,9,0,3,0,60
572,Uttar pradesh,CHITRAKOOT DHAM,2001,4,1,0,0,0,0,0,39,0,0,5,0,44
573,Uttar pradesh,DEORIA,2001,2,0,3,0,0,4,25,58,0,16,30,4,108
574,Uttar pradesh,ETAH,2001,14,8,5,1,2,5,24,0,0,116,51,8,175
575,Uttar pradesh,ETAWAH,2001,5,3,11,0,4,1,18,6,0,70,37,5,118
576,Uttar pradesh,FAIZABAD,2001,8,6,0,0,0,5,11,52,0,73,25,5,155
577,Uttar pradesh,FATEHGARH,2001,7,2,5,0,0,0,4,54,0,51,18,0,123
578,Uttar pradesh,FATEHPUR,2001,11,5,3,0,1,0,17,192,0,41,36,1,270
579,Uttar pradesh,FIROZABAD,2001,6,2,6,1,2,3,13,30,1,45,27,6,109
580,Uttar pradesh,G.R.P.,2001,1,0,0,0,1,0,0,5,0,3,1,1,10
581,Uttar pradesh,GAUTAMBUDH NAGAR,2001,3,1,0,0,0,1,2,0,0,43,6,1,50
582,Uttar pradesh,GHAZIABAD,2001,13,6,10,0,2,1,7,0,0,50,36,3,89
583,Uttar pradesh,GHAZIPUR,2001,1,1,2,0,0,1,3,26,0,90,7,1,124
584,Uttar pradesh,GONDA,2001,7,6,0,0,1,9,23,158,0,77,36,10,281
